character,pinyin,gloss,our_render,shuowen_headword,matched_by,shuowen_section,construction,fanqie_middle_chinese,semantic_parts,phonetic_parts,occurrences,tier,centrality,shuowen_definition_chinese,shuowen_definition_english
遇,yù,,,遇,exact,辵,phonetic-compound,,"辵 (chuò = walking, going along a road)",禺 (? = not yet glossed),1,,0.0108,逢也。从辵禺聲。,
鄙,bǐ,rustic/uncouth,,鄙,exact,邑,phonetic-compound,,"邑 (yì = a settlement, a town)",啚 (? = not yet glossed),1,,0.0108,五酇爲鄙。从邑啚聲。,
鄰,lín,,,鄰,exact,邑,phonetic-compound,,"邑 (yì = a settlement, a town)",粦 (? = not yet glossed),1,,0.0108,五家爲鄰。从邑粦聲。,
鑿,Záo,Chiseling/cutting,,鑿,exact,金,phonetic-compound,,金 (Jīn = Gold),𥽿 (? = not yet glossed),1,,0.0108,穿木也。从金，𥽿省聲。,
陸,Lù,,,陸,exact,𨸏,phonetic-compound,,𨸏 (? = not yet glossed) + 坴 (? = not yet glossed),坴 (? = not yet glossed),1,,0.0108,高平地。从𨸏从坴，坴亦聲。,
雞,jī,,,雞,exact,隹,phonetic-compound,,隹 (zhuī = a short-tailed bird),奚 (? = not yet glossed),1,,0.0108,知時畜也。从隹奚聲。,
順,shùn,,,順,exact,頁,compound,,頁 (yè = a head) + 巛 (? = not yet glossed),,1,,0.0108,理也。从頁从巛。,
頑,wán,am stubborn,,頑,exact,頁,phonetic-compound,,頁 (yè = a head),元 (? = not yet glossed),1,,0.0108,㮯頭也。从頁元聲。,
風,fēng,,,風,exact,風,phonetic-compound,,"虫 (chóng = an insect, a crawling creature)",凡 (? = not yet glossed),1,,0.0108,八風也。東方曰明庶風，東南曰清明風，南方曰景風，西南曰涼風，西方曰閶闔風，西北曰不周風，北方曰廣莫風，東北曰融風。風動蟲生。故蟲八日而化。从虫凡聲。凡風之屬皆从風。,
飄,piāo,,,飄,exact,風,phonetic-compound,,風 (fēng = not yet glossed),㶾 (? = not yet glossed),1,,0.0108,回風也。从風㶾聲。,
魚,Yú,,,魚,exact,魚,pictograph,,,,1,,0.0108,水蟲也。象形。魚尾與燕尾相似。凡魚之屬皆从魚。,
當,dāng,just at,,當,exact,田,phonetic-compound,,田 (tián = not yet glossed),尚 (shàng = still),3,,0.0102,田相值也。从田尚聲。,
博,bó,,,博,exact,十,compound,,十 (shí = not yet glossed) + 尃 (? = not yet glossed),,2,,0.01,大通也。从十从尃。尃，布也。,
谿,xī,,,谿,exact,谷,phonetic-compound,,谷 (Gǔ = ),奚 (? = not yet glossed),2,,0.01,山瀆無所通者。从谷奚聲。,
逝,shì,,,逝,exact,辵,phonetic-compound,,"辵 (chuò = walking, going along a road)",折 (zhé = not yet glossed),2,,0.01,往也。从辵折聲。讀若誓。,
偏,Piān,,,偏,exact,人,phonetic-compound,,人 (rén = ),扁 (? = not yet glossed),1,,0.0098,頗也。从人扁聲。,
儼,Yǎn,Reserved/dignified,,儼,exact,人,phonetic-compound,,人 (rén = ),嚴 (? = not yet glossed),1,,0.0098,昂頭也。从人嚴聲。一曰好皃。,
卻,què,,,卻,exact,卩,phonetic-compound,,卪 (? = not yet glossed),谷 (Gǔ = ),1,,0.0098,節欲也。从卪谷聲。,
召,zhào,,,召,exact,口,phonetic-compound,,口 (kǒu = mouths),刀 (dāo = a knife),1,,0.0098,𧦝也。从口刀聲。,
周,Zhōu,Circulating/everywhere,,周,exact,口,compound,,用 (yòng = use),,1,,0.0098,密也。从用、口。,
圖,Tú,,,圖,exact,囗,compound,,"囗 (wéi = an enclosure, a boundary) + 啚 (? = not yet glossed)",,1,,0.0098,畫計難也。从囗从啚。啚，難意也。,
埏,Yán,Kneading,,埏,exact,土,phonetic-compound,,土 (tǔ = not yet glossed),延 (? = not yet glossed),1,,0.0098,八方之地也。从土延聲。,
埴,zhí,clay,,埴,exact,土,phonetic-compound,,土 (tǔ = not yet glossed),直 (zhí = straight),1,,0.0098,黏土也。从土直聲。,
基,jī,,,基,exact,土,phonetic-compound,,土 (tǔ = not yet glossed),其 (qí = ),1,,0.0098,牆始也。从土其聲。,
外,wài,puts outside,,外,exact,夕,unanalysed,,,,1,,0.0098,遠也。卜尚平旦，今夕卜，於事外矣。,
字,zì,style/character,,字,exact,子,phonetic-compound,,子 (zǐ = not yet glossed) + 在 (zài = place in) + 宀 (mián = a roof; under a house) + 下 (xià = ),子 (zǐ = not yet glossed),1,,0.0098,乳也。从子在宀下，子亦聲。,
寄,jì,entrusted,,寄,exact,宀,phonetic-compound,,宀 (mián = a roof; under a house),奇 (jī = not yet glossed),1,,0.0098,託也。从宀奇聲。,
屬,shǔ,,,屬,exact,尾,phonetic-compound,,尾 (wěi = a tail),蜀 (shǔ = a caterpillar),1,,0.0098,連也。从尾蜀聲。,
弓,gōng,,,弓,exact,弓,pictograph,,,,1,,0.0098,以近窮遠。象形。古者揮作弓。《周禮》六弓：王弓、弧弓以射甲革甚質；夾弓、庾弓以射干矦鳥獸；唐弓、大弓以授學射者。凡弓之屬皆从弓。,
御,yù,manage/control,,御,exact,彳,compound,,彳 (chì = a step taken; going) + 卸 (? = not yet glossed),,1,,0.0098,使馬也。从彳从卸。,
忌,jì,,,忌,exact,心,phonetic-compound,,心 (xīn = heart),己 (jǐ = not yet glossed),1,,0.0098,憎惡也。从心己聲。,
悠,Yōu,Distant/careful,,悠,exact,心,phonetic-compound,,心 (xīn = heart),攸 (? = not yet glossed),1,,0.0098,憂也。从心攸聲。,
悲,bēi,sorrow,,悲,exact,心,phonetic-compound,,心 (xīn = heart),非 (fēi = they are not),1,,0.0098,痛也。从心非聲。,
抗,kàng,,,抗,exact,手,phonetic-compound,,手 (shǒu = not yet glossed),亢 (? = not yet glossed),1,,0.0098,扞也。从手亢聲。,
拔,bá,,,拔,exact,手,phonetic-compound,,手 (shǒu = not yet glossed),犮 (? = not yet glossed),1,,0.0098,擢也。从手犮聲。,
改,gǎi,changing/altering,,改,exact,攴,compound,,攴 (pū = a hand striking — action done to something),,1,,0.0098,更也。从攴、己。李陽冰曰：“已有過，攴之卽改。”,
敦,Dūn,Solid/genuine,,敦,exact,攴,phonetic-compound,,攴 (pū = a hand striking — action done to something),𦎫 (? = not yet glossed),1,,0.0098,怒也。詆也。一曰誰何也。从攴𦎫聲。,
昔,Xī,,,昔,exact,日,compound,,殘 (? = not yet glossed) + 肉 (ròu = flesh),,1,,0.0098,乾肉也。从殘肉，日以晞之。與俎同意。,
曠,Kuàng,Broad/expansive,,曠,exact,日,phonetic-compound,,日 (rì = day),廣 (Guǎng = not yet glossed),1,,0.0098,明也。从日廣聲。,
枯,kū,,,枯,exact,木,phonetic-compound,,木 (mù = not yet glossed),古 (gǔ = ancient),1,,0.0098,槀也。从木古聲。《夏書》曰：“唯箘輅枯。”木名也。,
橐,tuó,,,橐,exact,㯻,phonetic-compound,,㯻 (? = not yet glossed),石 (shí = not yet glossed),1,,0.0098,囊也。从㯻省，石聲。,
況,kuàng,how much more/let alone,,況,exact,水,phonetic-compound,,水 (shuǐ = water),兄 (? = not yet glossed),1,,0.0098,寒水也。从水兄聲。,
泣,qì,,,泣,exact,水,phonetic-compound,,水 (shuǐ = water),立 (lì = ),1,,0.0098,無聲出涕曰泣。从水立聲。,
營,yíng,vital/encampment,,營,exact,宮,phonetic-compound,,宮 (? = not yet glossed),熒 (? = not yet glossed),1,,0.0098,市居也。从宮，熒省聲。,
狂,kuáng,,,狂,exact,犬,phonetic-compound,,犬 (quǎn = not yet glossed),㞷 (? = not yet glossed),1,,0.0098,狾犬也。从犬㞷聲。,
狎,xiá,,,狎,exact,犬,phonetic-compound,,犬 (quǎn = not yet glossed),甲 (jiǎ = not yet glossed),1,,0.0098,犬可習也。从犬甲聲。,
瑕,xiá,flaws/blemishes,,瑕,exact,玉,phonetic-compound,乎加切,玉 (yù = jade),叚 (? = not yet glossed),1,,0.0098,玉小赤也。从玉，叚聲。,
社,shè,,,社,exact,示,compound,常者切,示 (shì = not yet glossed),,1,,0.0098,地主也。从示、土。《春秋傳》曰：「共工之子句龍爲社神。」周禮，二十五家爲社，各樹其土所宜之木。,
稷,jì,,,稷,exact,禾,phonetic-compound,,禾 (hé = standing grain),畟 (? = not yet glossed),1,,0.0098,𪗉也。五穀之長。从禾畟聲。,
籥,yuè,,,籥,exact,竹,phonetic-compound,,竹 (zhú = bamboo),龠 (? = not yet glossed),1,,0.0098,書僮竹笘也。从竹龠聲。,
繟,Chǎn,,,繟,exact,糸,phonetic-compound,,糸 (mì = silk thread),單 (? = not yet glossed),1,,0.0098,帶緩也。从糸單聲。,
罪,zuì,,,罪,exact,-{网}-,compound,,网 (wǎng = a net),,1,,0.0098,捕魚竹网。从网、非。秦以罪爲辠字。,
藏,cáng,,,藏,exact,艸,unanalysed,,,,1,,0.0098,匿也。,
託,tuō,relied upon/entrusted,,託,exact,言,phonetic-compound,,言 (yán = ),乇 (? = not yet glossed),1,,0.0098,寄也。从言乇聲。,
誠,Chéng,Truly,,誠,exact,言,phonetic-compound,,言 (yán = ),成 (chéng = ),1,,0.0098,信也。从言成聲。,
諱,huì,,,諱,exact,言,phonetic-compound,,言 (yán = ),韋 (? = not yet glossed),1,,0.0098,誋也。从言韋聲。,
謫,zhé,blame,,謫,exact,言,phonetic-compound,,言 (yán = ),啻 (? = not yet glossed),1,,0.0098,罰也。从言啻聲。,
責,zé,,,責,exact,貝,phonetic-compound,,"貝 (bèi = a cowrie shell — money, worth)",朿 (cì = a thorn),1,,0.0098,求也。从貝朿聲。,
賓,bīn,submit/align themselves,,賓,exact,貝,phonetic-compound,,"貝 (bèi = a cowrie shell — money, worth)",𡧍 (? = not yet glossed),1,,0.0098,所敬也。从貝𡧍聲。,
贅,zhuì,superfluous/tumor,,贅,exact,貝,compound,,敖 (? = not yet glossed),,1,,0.0098,以物質錢。从敖、貝。敖者，猶放；貝，當復取之也。,
走,zǒu,,,走,exact,走,compound,,夭 (? = not yet glossed),,1,,0.0098,趨也。从夭、止。夭止者，屈也。凡走之屬皆从走。,
載,Zài,Carrying,,載,exact,車,phonetic-compound,,車 (chē = not yet glossed),𢦔 (? = not yet glossed),1,,0.0098,乘也。从車𢦔聲。,
轍,zhé,,,轍,exact,車,phonetic-compound,,車 (chē = not yet glossed),徹 (chè = not yet glossed),1,,0.0098,車迹也。从車，徹省聲。本通用徹，後人所加。,
郊,jiāo,,,郊,exact,邑,phonetic-compound,,"邑 (yì = a settlement, a town)",交 (jiāo = not yet glossed),1,,0.0098,距國百里爲郊。从邑交聲。,
雨,yǔ,,,雨,exact,雨,compound,,雲 (? = not yet glossed) + 下 (xià = ) + 也 (yě = particle),,1,,0.0098,水从雲下也。一象天，冂象雲，水霝其閒也。凡雨之屬皆从雨。,
驟,Zhòu,,,驟,exact,馬,phonetic-compound,,馬 (mǎ = not yet glossed),聚 (? = not yet glossed),1,,0.0098,馬疾步也。从馬聚聲。,
魄,pò,soul,,魄,exact,鬼,phonetic-compound,,鬼 (guǐ = not yet glossed),白 (bái = white/light),1,,0.0098,陰神也。从鬼白聲。,
次,cì,,,次,exact,欠,phonetic-compound,,"欠 (qiàn = a person with the mouth open — breath, wanting)",二 (èr = not yet glossed),3,,0.0092,不前，不精也。从欠二聲。,
恢,huī,,,恢,exact,心,phonetic-compound,,心 (xīn = heart),灰 (? = not yet glossed),2,,0.0089,大也。从心灰聲。,
昭,zhāo,,,昭,exact,日,phonetic-compound,,日 (rì = day),召 (zhào = not yet glossed),2,,0.0089,日明也。从日召聲。,
淳,chún,,,淳,exact,水,phonetic-compound,,水 (shuǐ = water),𦎫 (? = not yet glossed),2,,0.0089,渌也。从水𦎫聲。,
熙,xī,,,熙,exact,火,phonetic-compound,,火 (huǒ = fire),巸 (? = not yet glossed),2,,0.0089,燥也。从火巸聲。,
綿,Mián,,,緜,orthographic,系,compound,,"系 (xì = to tie, to connect) + 帛 (? = not yet glossed)",,2,,0.0089,聮微也。从系从帛。,
芸,yún,,,芸,exact,艸,phonetic-compound,,"艸 (cǎo = grass, growing plants)",云 (yún = not yet glossed),2,,0.0089,艸也。似目宿。从艸云聲。《淮南子》說：「芸艸可以死復生。」,
九,Jiǔ,,,九,exact,九,pictograph,,,,1,,0.0087,陽之變也。象其屈曲究盡之形。凡九之屬皆从九。,
企,Qǐ,Tiptoeing,,企,exact,人,phonetic-compound,,人 (rén = ),止 (zhǐ = stopping point),1,,0.0087,舉踵也。从人止聲。,
伎,jì,,,伎,exact,人,phonetic-compound,,人 (rén = ),支 (? = not yet glossed),1,,0.0087,與也。从人支聲。《詩》曰：“𥷤人伎忒。”,
佳,jiā,fine/beautiful,,佳,exact,人,phonetic-compound,,人 (rén = ),圭 (? = not yet glossed),1,,0.0087,善也。从人圭聲。,
倍,bèi,fold,,倍,exact,人,phonetic-compound,,人 (rén = ),咅 (? = not yet glossed),1,,0.0087,反也。从人咅聲。,
六,Liù,six,,六,exact,六,compound,,"入 (rù = not yet glossed) + 八 (bā = eight; to divide, to part)",,1,,0.0087,《易》之數，陰變於六，正於八。从入从八。凡六之屬皆从六。,
劌,guì,,,劌,exact,刀,phonetic-compound,,刀 (dāo = a knife),歲 (? = not yet glossed),1,,0.0087,利傷也。从刀歲聲。,
千,Qiān,,,千,exact,十,compound,,十 (shí = not yet glossed) + 人 (rén = ),,1,,0.0087,十百也。从十从人。,
吉,Jí,,,吉,exact,口,compound,,士 (shì = scholars/officers),,1,,0.0087,善也。从士、口。,
含,Hán,,,含,exact,口,phonetic-compound,,口 (kǒu = mouths),今 (jīn = ),1,,0.0087,嗛也。从口今聲。,
土,tǔ,,,土,exact,土,pictograph,,,,1,,0.0087,地之吐生物者也。二象地之下、地之中，物出形也。凡土之屬皆从土。,
垢,gòu,,,垢,exact,土,phonetic-compound,,土 (tǔ = not yet glossed),后 (? = not yet glossed),1,,0.0087,濁也。从土后聲。,
堂,táng,hall,,堂,exact,土,phonetic-compound,,土 (tǔ = not yet glossed),尚 (shàng = still),1,,0.0087,殿也。从土尚聲。,
報,bào,,,報,exact,㚔,compound,,幸 (? = not yet glossed) + 𠬝 (? = not yet glossed),,1,,0.0087,當罪人也。从幸从𠬝。𠬝，服罪也。,
央,yāng,reached the center/end,,央,exact,冂,compound,,"大 (dà = ) + 在 (zài = place in) + 冂 (jiōng = the far borders, open country) + 之 (zhī = it) + 内 (? = not yet glossed)",,1,,0.0087,中央也。从大在冂之内。大，人也。央㫄同意。一曰久也。,
夸,kuā,,,夸,exact,大,phonetic-compound,,大 (dà = ),于 (? = not yet glossed),1,,0.0087,奢也。从大于聲。,
奪,duó,,,奪,exact,奞,compound,,又 (yòu = not yet glossed) + 奞 (? = not yet glossed),,1,,0.0087,手持隹失之也。从又从奞。,
妨,fáng,be hindered/harmed,,妨,exact,女,phonetic-compound,,女 (nǚ = a woman),方 (fāng = not yet glossed),1,,0.0087,害也。从女方聲。,
孔,Kǒng,,,孔,exact,𠃉,compound,,𠃉 (? = not yet glossed) + 子 (zǐ = not yet glossed),,1,,0.0087,通也。从𠃉从子。𠃉，請子之候鳥也。𠃉至而得子，嘉美之也。古人名嘉字子孔。,
官,guān,,,官,exact,𠂤,compound,,宀 (mián = a roof; under a house) + 𠂤 (? = not yet glossed),,1,,0.0087,史，事君也。从宀从𠂤。𠂤猶眾也。此與師同意。,
寸,cùn,,,寸,exact,寸,compound,,又 (yòu = not yet glossed) + 一 (yī = the one (lowercase) · one thing (ch 22) · plain numeral where it counts),,1,,0.0087,十分也。人手卻一寸，動𧖴，謂之寸口。从又从一。凡寸之屬皆从寸。,
專,Zhuān,Concentrating,,專,exact,寸,phonetic-compound,,寸 (cùn = not yet glossed),叀 (? = not yet glossed),1,,0.0087,六寸簿也。从寸叀聲。一曰專，紡專。,
層,céng,,,層,exact,-{尸}-,phonetic-compound,,尸 (shī = a body laid out; a seated figure),曾 (? = not yet glossed),1,,0.0087,重屋也。从尸曾聲。,
帝,dì,,,帝,exact,丄,phonetic-compound,都計切,丄 (shàng = above (the old form of 上)),朿 (cì = a thorn),1,,0.0087,諦也，王天下之號也。从丄，朿聲。,
廉,lián,,,廉,exact,广,phonetic-compound,,广 (yǎn = a shelter built against a bank),兼 (jiān = not yet glossed),1,,0.0087,庂也。从广兼聲。,
徑,jìng,,,徑,exact,彳,phonetic-compound,,彳 (chì = a step taken; going),巠 (? = not yet glossed),1,,0.0087,步道也。从彳巠聲。,
徹,chè,,,徹,exact,攴,compound,,彳 (chì = a step taken; going) + 攴 (pū = a hand striking — action done to something) + 育 (yù = not yet glossed),,1,,0.0087,通也。从彳从攴从育。,
徼,jiào,,,徼,exact,彳,phonetic-compound,,彳 (chì = a step taken; going),敫 (? = not yet glossed),1,,0.0087,循也。从彳敫聲。,
忒,tè,deviate/err,,忒,exact,心,phonetic-compound,,心 (xīn = heart),弋 (yì = a stake; a tethered arrow),1,,0.0087,更也。从心弋聲。,
恬,tián,,,恬,exact,心,phonetic-compound,,心 (xīn = heart),甛 (? = not yet glossed),1,,0.0087,安也。从心，甛省聲。,
慎,Shèn,,,愼,orthographic,心,phonetic-compound,,心 (xīn = heart),眞 (? = not yet glossed),1,,0.0087,謹也。从心眞聲。,
憂,yōu,sorrow/worries,,憂,exact,夊,phonetic-compound,,"夊 (suī = walking slowly, dragging the feet)",𢚧 (? = not yet glossed),1,,0.0087,和之行也。从夊𢚧聲。《詩》曰：“布政憂憂。”,
拙,zhuō,,,拙,exact,手,phonetic-compound,,手 (shǒu = not yet glossed),出 (chū = emerge),1,,0.0087,不巧也。从手出聲。,
揣,chuǎi,hammering/feeling,,揣,exact,手,phonetic-compound,,手 (shǒu = not yet glossed),耑 (? = not yet glossed),1,,0.0087,量也。从手耑聲。度高曰揣。一曰捶之。,
據,jù,,,據,exact,手,phonetic-compound,,手 (shǒu = not yet glossed),豦 (? = not yet glossed),1,,0.0087,杖持也。从手豦聲。,
攫,jué,,,攫,exact,手,phonetic-compound,,手 (shǒu = not yet glossed),矍 (? = not yet glossed),1,,0.0087,扟也。从手矍聲。,
施,shī,,,施,exact,㫃,phonetic-compound,,㫃 (? = not yet glossed),也 (yě = particle),1,,0.0087,旗皃。从㫃也聲。亝欒施字子旗，知施者旗也。,
晚,wǎn,,,晚,exact,日,phonetic-compound,,日 (rì = day),免 (miǎn = not yet glossed),1,,0.0087,莫也。从日免聲。,
普,pǔ,,,普,exact,日,compound,,日 (rì = day) + 並 (bìng = simultaneously),,1,,0.0087,日無色也。从日从並。,
望,wàng,,,望,exact,亡,phonetic-compound,,亡 (wáng = perish),朢 (? = not yet glossed),1,,0.0087,出亡在外，望其還也。从亡，朢省聲。,
末,mò,,,末,exact,木,compound,,木 (mù = not yet glossed),,1,,0.0087,木上曰末。从木，一在其上。,
棘,jí,,,棘,exact,朿,compound,,並 (bìng = simultaneously) + 朿 (cì = a thorn),,1,,0.0087,小棗叢生者。从並朿。,
殃,yāng,,,殃,exact,歺,phonetic-compound,,"歺 (è = splintered bone — death, decay)",央 (yāng = reached the center/end),1,,0.0087,咎也。从歺央聲。,
比,bǐ,,,比,exact,比,unanalysed,,,,1,,0.0087,密也。二人爲从，反从爲比。凡比之屬皆从比。,
汎,fàn,overflows/floods,,汎,exact,水,phonetic-compound,,水 (shuǐ = water),凡 (? = not yet glossed),1,,0.0087,浮皃。从水凡聲。,
泮,pàn,,,泮,exact,水,phonetic-compound,,水 (shuǐ = water) + 半 (? = not yet glossed),半 (? = not yet glossed),1,,0.0087,諸矦鄉射之宮，西南爲水，東北爲牆。从水从半，半亦聲。,
渝,yú,,,渝,exact,水,phonetic-compound,,水 (shuǐ = water),俞 (? = not yet glossed),1,,0.0087,變汙也。从水俞聲。一曰渝水，在遼西臨俞，東出塞。,
滌,Dí,Washing,,滌,exact,水,phonetic-compound,,水 (shuǐ = water),條 (? = not yet glossed),1,,0.0087,洒也。从水條聲。,
滿,mǎn,filling,,滿,exact,水,phonetic-compound,,水 (shuǐ = water),㒼 (? = not yet glossed),1,,0.0087,盈溢也。从水㒼聲。,
燕,Yàn,Peacefully,,燕,exact,燕,pictograph,,,,1,,0.0087,玄鳥也。籋口，布翄，枝尾。象形。凡燕之屬皆从燕。,
牢,láo,,,牢,exact,牛,compound,,牛 (niú = an ox),,1,,0.0087,閑，養牛馬圈也。从牛，冬省。取其四周帀也。,
猛,měng,,,猛,exact,犬,phonetic-compound,,犬 (quǎn = not yet glossed),孟 (? = not yet glossed),1,,0.0087,健犬也。从犬孟聲。,
獵,liè,,,獵,exact,犬,phonetic-compound,,犬 (quǎn = not yet glossed),巤 (? = not yet glossed),1,,0.0087,放獵逐禽也。从犬巤聲。,
獸,shòu,,,獸,exact,嘼,compound,,嘼 (? = not yet glossed) + 犬 (quǎn = not yet glossed),,1,,0.0087,守備者。从嘼从犬。,
畋,tián,,,畋,exact,攴,compound,,攴 (pū = a hand striking — action done to something),,1,,0.0087,平田也。从攴、田。《周書》曰：“畋尒田。”,
疵,cī,flaw/blemish,,疵,exact,疒,phonetic-compound,,疒 (nè = a person on a sickbed — illness),此 (Cǐ = this),1,,0.0087,病也。从疒此聲。,
登,dēng,,,登,exact,癶,compound,,癶 (? = not yet glossed),,1,,0.0087,上車也。从癶、豆。象登車形。,
皦,jiǎo,bright/dazzling,,皦,exact,白,phonetic-compound,,白 (bái = white/light),敫 (? = not yet glossed),1,,0.0087,玉石之白也。从白敫聲。,
短,duǎn,,,短,exact,矢,phonetic-compound,,矢 (shǐ = an arrow),豆 (? = not yet glossed),1,,0.0087,有所長短，以矢爲正。从矢豆聲。,
紀,jì,,,紀,exact,糸,phonetic-compound,,糸 (mì = silk thread),己 (jǐ = not yet glossed),1,,0.0087,絲別也。从糸己聲。,
素,sù,plainness/raw silk,,素,exact,素,compound,,糸 (mì = silk thread),,1,,0.0087,白緻繒也。从糸、𠂹，取其澤也。凡素之屬皆从素。,
纇,lèi,,,纇,exact,糸,phonetic-compound,,糸 (mì = silk thread),頪 (? = not yet glossed),1,,0.0087,絲節也。从糸頪聲。,
興,xīng,,,興,exact,舁,compound,,舁 (yú = four hands lifting together) + 同 (tóng = merge/identify),,1,,0.0087,起也。从舁从同。同力也。,
舟,zhōu,,,舟,exact,舟,pictograph,,,,1,,0.0087,船也。古者，共鼓、貨狄，刳木爲舟，剡木爲楫，以濟不通。象形。凡舟之屬皆从舟。,
荊,jīng,,,荊,exact,艸,phonetic-compound,,"艸 (cǎo = grass, growing plants)",刑 (? = not yet glossed),1,,0.0087,楚木也。从艸刑聲。,
螫,shì,,,螫,exact,虫,phonetic-compound,,"虫 (chóng = an insect, a crawling creature)",赦 (? = not yet glossed),1,,0.0087,蟲行毒也。从虫赦聲。,
蟲,chóng,,,蟲,exact,蟲,compound,,"三 (Sān = three) + 虫 (chóng = an insect, a crawling creature)",,1,,0.0087,有足謂之蟲，無足謂之豸。从三虫。凡蟲之屬皆从蟲。,
要,yào,crucial/essential,,要,exact,𦥑,phonetic-compound,,𦥑 (? = not yet glossed),交 (jiāo = not yet glossed),1,,0.0087,身中也。象人要自𦥑之形。从𦥑，交省聲。,
覽,lǎn,mirror/vision,,覽,exact,見,phonetic-compound,,見 (jiàn = ),監 (? = not yet glossed),1,,0.0087,觀也。从見、監，監亦聲。,
訥,nè,,,訥,exact,言,compound,,言 (yán = ) + 内 (? = not yet glossed),,1,,0.0087,言難也。从言从内。,
豈,Qǐ,How could it be,,豈,exact,豈,phonetic-compound,,豆 (? = not yet glossed),微 (wēi = ),1,,0.0087,還師振旅樂也。一曰欲也，登也。从豆，微省聲。凡豈之屬皆从豈。,
豐,fēng,,,豐,exact,豐,compound,,豆 (? = not yet glossed),,1,,0.0087,豆之豐滿者也。从豆，象形。一曰《鄉飲酒》有豐侯者。凡豐之屬皆从豐。,
財,cái,,,財,exact,貝,phonetic-compound,,"貝 (bèi = a cowrie shell — money, worth)",才 (cái = a sprout breaking the ground),1,,0.0087,人所寶也。从貝才聲。,
貧,pín,,,貧,exact,貝,phonetic-compound,,"貝 (bèi = a cowrie shell — money, worth) + 分 (? = not yet glossed)",分 (? = not yet glossed),1,,0.0087,財分少也。从貝从分，分亦聲。,
貸,dài,,,貸,exact,貝,phonetic-compound,,"貝 (bèi = a cowrie shell — money, worth)",代 (dài = not yet glossed),1,,0.0087,施也。从貝代聲。,
質,zhì,,,質,exact,貝,compound,,"貝 (bèi = a cowrie shell — money, worth) + 斦 (? = not yet glossed)",,1,,0.0087,以物相贅。从貝从斦。闕。,
赤,chì,,,赤,exact,赤,compound,,大 (dà = ) + 火 (huǒ = fire),,1,,0.0087,南方色也。从大从火。凡赤之屬皆从赤。,
超,chāo,,,超,exact,走,phonetic-compound,,走 (zǒu = not yet glossed),召 (zhào = not yet glossed),1,,0.0087,跳也。从走召聲。,
跨,Kuà,Striding/taking long steps,,跨,exact,足,phonetic-compound,,足 (zú = ),夸 (kuā = not yet glossed),1,,0.0087,渡也。从足夸聲。,
車,chē,,,車,exact,車,pictograph,,,,1,,0.0087,輿輪之緫名。夏后時奚仲所造。象形。凡車之屬皆从車。,
輿,yú,,,輿,exact,車,phonetic-compound,,車 (chē = not yet glossed),舁 (yú = four hands lifting together),1,,0.0087,車輿也。从車舁聲。,
通,tōng,penetrating/connected,,通,exact,辵,phonetic-compound,,"辵 (chuò = walking, going along a road)",甬 (? = not yet glossed),1,,0.0087,達也。从辵甬聲。,
達,dá,,,達,exact,辵,phonetic-compound,,"辵 (chuò = walking, going along a road)",羍 (? = not yet glossed),1,,0.0087,行不相遇也。从辵羍聲。詩曰：“挑兮達兮。”,
還,huán,return/cycle back,,還,exact,辵,phonetic-compound,,"辵 (chuò = walking, going along a road)",瞏 (? = not yet glossed),1,,0.0087,復也。从辵瞏聲。,
配,pèi,,,配,exact,酉,phonetic-compound,,酉 (? = not yet glossed),己 (jǐ = not yet glossed),1,Tier 0,0.0087,酒色也。从酉己聲。,
里,lǐ,,,里,exact,里,compound,,田 (tián = not yet glossed) + 土 (tǔ = not yet glossed),,1,,0.0087,居也。从田从土。凡里之屬皆从里。,
金,Jīn,Gold,,金,exact,金,phonetic-compound,,革 (? = not yet glossed) + 不 (bù = ) + 違 (? = not yet glossed) + 土 (tǔ = not yet glossed),今 (jīn = ),1,,0.0087,五色金也。黃爲之長。久薶不生衣，百鍊不輕，从革不違。西方之行。生於土，从土；左右注，象金在土中形；今聲。凡金之屬皆从金。,
閱,yuè,inspect/review,,閱,exact,門,phonetic-compound,,門 (mén = ),說 (? = not yet glossed),1,,0.0087,具數於門中也。从門，說省聲。,
闔,hé,closing,,闔,exact,門,phonetic-compound,,門 (mén = ),盍 (? = not yet glossed),1,,0.0087,門扇也。一曰閉也。从門盍聲。,
阿,ē,flattery/yeah,,阿,exact,𨸏,phonetic-compound,,𨸏 (? = not yet glossed),可 (kě = ),1,,0.0087,大陵也。一曰曲𨸏也。从𨸏可聲。,
降,jiàng,,,降,exact,𨸏,phonetic-compound,,𨸏 (? = not yet glossed),夅 (? = not yet glossed),1,,0.0087,下也。从𨸏夅聲。,
陳,chén,,,陳,exact,𨸏,phonetic-compound,,𨸏 (? = not yet glossed) + 木 (mù = not yet glossed),申 (? = not yet glossed),1,,0.0087,宛丘，舜後嬀滿之所封。从𨸏从木，申聲。,
隅,yú,,,隅,exact,𨸏,phonetic-compound,,𨸏 (? = not yet glossed),禺 (? = not yet glossed),1,,0.0087,陬也。从𨸏禺聲。,
隱,yǐn,,,隱,exact,𨸏,phonetic-compound,,𨸏 (? = not yet glossed),㥯 (? = not yet glossed),1,,0.0087,蔽也。从𨸏㥯聲。,
露,lù,,,露,exact,雨,phonetic-compound,,雨 (yǔ = not yet glossed),路 (? = not yet glossed),1,,0.0087,潤澤也。从雨路聲。,
